,County,Year,State,MME,Deaths
249,JACKSON,2010,IN,27157.612188000436,10.0
250,JACKSON,2011,IN,29334.563073862864,
251,JACKSON,2012,IN,28504.414897500057,10.0
252,JASPER,2006,IN,8247.856072500152,
253,JASPER,2007,IN,9899.668268862706,
254,JASPER,2008,IN,10199.795343087704,
255,JASPER,2009,IN,11522.739566362707,
256,JASPER,2010,IN,12678.498716362754,
257,JASPER,2011,IN,14158.414230000331,
258,JASPER,2012,IN,15804.257452500313,
259,JAY,2006,IN,5842.564047037541,
260,JAY,2007,IN,7534.695321000054,
261,JAY,2008,IN,8164.348011000073,
262,JAY,2009,IN,8601.847972500085,
263,JAY,2010,IN,9929.926057500112,
264,JAY,2011,IN,11584.072207725128,
265,JAY,2012,IN,13364.227047262677,
266,JEFFERSON,2006,IN,8556.70756750011,
267,JEFFERSON,2007,IN,11110.962588725166,
268,JEFFERSON,2008,IN,12438.451285725212,
269,JEFFERSON,2009,IN,14100.268065225198,
270,JEFFERSON,2010,IN,15246.015532725216,
271,JEFFERSON,2011,IN,17445.22405158773,
272,JEFFERSON,2012,IN,16769.02677750018,
273,JENNINGS,2006,IN,10709.050684225103,
274,JENNINGS,2007,IN,13049.361932000162,
275,JENNINGS,2008,IN,14407.539672000124,
276,JENNINGS,2009,IN,14994.800678175114,
277,JENNINGS,2010,IN,16223.5855629377,
278,JENNINGS,2011,IN,16289.337622950143,
279,JENNINGS,2012,IN,17771.76829500015,
280,JOHNSON,2006,IN,44348.32942212804,10.0
281,JOHNSON,2007,IN,54725.86832154156,16.0
282,JOHNSON,2008,IN,60971.25073186684,11.0
283,JOHNSON,2009,IN,67000.99076340414,10.0
284,JOHNSON,2010,IN,71779.40115022972,16.0
285,JOHNSON,2011,IN,78741.03358680526,10.0
286,JOHNSON,2012,IN,82167.28839611754,14.0
287,KNOX,2006,IN,14528.77364545026,
288,KNOX,2007,IN,16918.180294212772,
289,KNOX,2008,IN,17744.515700350283,
290,KNOX,2009,IN,18965.403107250164,
291,KNOX,2010,IN,20135.584119300147,
292,KNOX,2011,IN,22675.65323748763,
293,KNOX,2012,IN,25914.297503850074,
294,KOSCIUSKO,2006,IN,13597.111535500211,
295,KOSCIUSKO,2007,IN,17552.121160500432,
296,KOSCIUSKO,2008,IN,19632.731991000463,
297,KOSCIUSKO,2009,IN,22373.608470225572,10.0
298,KOSCIUSKO,2010,IN,24941.29630545057,
299,KOSCIUSKO,2011,IN,27098.461613175634,
300,KOSCIUSKO,2012,IN,30299.28285903822,11.0
301,LA PORTE,2006,IN,23474.253498001,10.0
302,LA PORTE,2007,IN,25717.405919451056,16.0
303,LA PORTE,2008,IN,27755.668601726178,
304,LA PORTE,2009,IN,33468.26977361371,10.0
305,LA PORTE,2010,IN,37959.09729930197,11.0
306,LA PORTE,2011,IN,42782.2737686276,21.0
307,LA PORTE,2012,IN,48824.542814064815,15.0
308,LAGRANGE,2006,IN,1890.8821800000019,
309,LAGRANGE,2007,IN,2122.1578194000003,
310,LAGRANGE,2008,IN,2734.58904795,
311,LAGRANGE,2009,IN,3526.442355000008,
312,LAGRANGE,2010,IN,4084.309425000011,
313,LAGRANGE,2011,IN,4423.536757500024,
314,LAGRANGE,2012,IN,4829.995027500033,
315,LAKE,2006,IN,88087.92493446694,28.0
316,LAKE,2007,IN,96554.53337363186,17.0
317,LAKE,2008,IN,107025.53737503442,29.0
318,LAKE,2009,IN,119240.4272341722,20.0
319,LAKE,2010,IN,131385.50418445055,13.0
320,LAKE,2011,IN,141177.15142690134,21.0
321,LAKE,2012,IN,149745.05122041426,25.0
322,LAWRENCE,2006,IN,20149.75223000041,
323,LAWRENCE,2007,IN,24006.820091750615,
324,LAWRENCE,2008,IN,25561.89962250065,
325,LAWRENCE,2009,IN,27116.83799636297,
326,LAWRENCE,2010,IN,28173.91747886276,
327,LAWRENCE,2011,IN,30211.140480000395,
328,LAWRENCE,2012,IN,32386.943655225154,
329,MADISON,2006,IN,50387.19777500305,37.0
330,MADISON,2007,IN,62184.03788350405,22.0
331,MADISON,2008,IN,68501.76327572903,17.0
332,MADISON,2009,IN,72443.96978659116,33.0
333,MADISON,2010,IN,72512.13360795371,31.0
334,MADISON,2011,IN,78420.84808976701,42.0
335,MADISON,2012,IN,86508.29347931784,38.0
336,MARION,2006,IN,245901.22101652066,114.0
337,MARION,2007,IN,286228.0196348542,123.0
338,MARION,2008,IN,305286.08423262724,148.0
339,MARION,2009,IN,341377.83279209526,137.0
340,MARION,2010,IN,384202.11665786954,151.0
341,MARION,2011,IN,416503.7268344122,156.0
342,MARION,2012,IN,458528.47531170043,192.0
343,MARSHALL,2006,IN,8960.844883950149,
344,MARSHALL,2007,IN,11236.721540175222,
345,MARSHALL,2008,IN,12372.924987000384,
346,MARSHALL,2009,IN,13199.111925000367,
347,MARSHALL,2010,IN,14132.40241500041,
348,MARSHALL,2011,IN,14861.144092725317,
349,MARSHALL,2012,IN,17712.63503636283,
350,MARTIN,2006,IN,2724.1548775000056,
351,MARTIN,2007,IN,3050.6354015000043,
352,MARTIN,2008,IN,3418.012234500005,
353,MARTIN,2009,IN,3885.1597575000046,
354,MARTIN,2010,IN,4401.344711587517,
355,MARTIN,2011,IN,5070.7972950000185,
356,MARTIN,2012,IN,5457.763147500025,
357,MIAMI,2006,IN,4071.613146500004,
358,MIAMI,2007,IN,4636.684556500011,
359,MIAMI,2008,IN,5559.2064780000255,
360,MIAMI,2009,IN,6473.02695000004,
361,MIAMI,2010,IN,7843.215645000039,
362,MIAMI,2011,IN,8871.147787500053,
363,MIAMI,2012,IN,9923.069111362553,
364,MONROE,2006,IN,33753.16608372713,
365,MONROE,2007,IN,40636.427939815134,10.0
366,MONROE,2008,IN,42371.21282103982,14.0
367,MONROE,2009,IN,43983.23628750228,15.0
368,MONROE,2010,IN,43940.47190250211,16.0
369,MONROE,2011,IN,46419.89374886483,16.0
370,MONROE,2012,IN,50280.44174681496,18.0
371,MONTGOMERY,2006,IN,10873.744724862743,
372,MONTGOMERY,2007,IN,13981.0532245003,
373,MONTGOMERY,2008,IN,16479.014839950338,
374,MONTGOMERY,2009,IN,18355.473461812988,
375,MONTGOMERY,2010,IN,18498.94794000041,
376,MONTGOMERY,2011,IN,20400.363776587852,11.0
377,MONTGOMERY,2012,IN,20215.522306575378,12.0
378,MORGAN,2006,IN,22526.860529500857,
379,MORGAN,2007,IN,26664.99312950107,
