,County,Year,State,MME,Deaths
271,JACKSON,2012,IL,21230.612471362954,
272,JASPER,2006,IL,1697.502825000003,
273,JASPER,2007,IL,1614.7104788625063,
274,JASPER,2008,IL,2270.9942595000066,
275,JASPER,2009,IL,2782.3513615875086,
276,JASPER,2010,IL,1684.3335865875115,
277,JASPER,2011,IL,1130.005717500005,
278,JASPER,2012,IL,1058.849205000004,
279,JEFFERSON,2006,IL,6630.633349500096,
280,JEFFERSON,2007,IL,8137.299488587637,
281,JEFFERSON,2008,IL,8764.930304137648,
282,JEFFERSON,2009,IL,9048.101411775167,
283,JEFFERSON,2010,IL,10184.688403612727,
284,JEFFERSON,2011,IL,11249.261520000242,
285,JEFFERSON,2012,IL,12589.800491362641,
286,JERSEY,2006,IL,5458.587375000017,
287,JERSEY,2007,IL,6317.800329000045,
288,JERSEY,2008,IL,7123.430110500064,
289,JERSEY,2009,IL,7190.1893400000645,
290,JERSEY,2010,IL,8047.230228862596,
291,JERSEY,2011,IL,8329.406460225104,
292,JERSEY,2012,IL,8152.416787500094,
293,JO DAVIESS,2006,IL,1587.4796470000072,
294,JO DAVIESS,2007,IL,1887.697287500009,
295,JO DAVIESS,2008,IL,1970.8893000000126,
296,JO DAVIESS,2009,IL,1956.2836500000099,
297,JO DAVIESS,2010,IL,2264.1922875000096,
298,JO DAVIESS,2011,IL,2638.362667500021,
299,JO DAVIESS,2012,IL,2675.138992500024,
300,JOHNSON,2006,IL,890.3367135000018,
301,JOHNSON,2007,IL,982.7994225000016,
302,JOHNSON,2008,IL,1299.9809475000022,
303,JOHNSON,2009,IL,1720.3239225000077,
304,JOHNSON,2010,IL,2424.0955275000138,
305,JOHNSON,2011,IL,2610.1146675000114,
306,JOHNSON,2012,IL,2570.2500975000144,
307,KANE,2006,IL,35701.02839286556,20.0
308,KANE,2007,IL,33356.94448722736,27.0
309,KANE,2008,IL,33417.54952358963,22.0
310,KANE,2009,IL,37597.45088767774,28.0
311,KANE,2010,IL,45862.973668954844,25.0
312,KANE,2011,IL,50445.678108905166,43.0
313,KANE,2012,IL,55037.47014412933,41.0
314,KANKAKEE,2006,IL,18212.024991000566,
315,KANKAKEE,2007,IL,18096.526016500513,
316,KANKAKEE,2008,IL,18127.994284500444,15.0
317,KANKAKEE,2009,IL,19491.770243588115,13.0
318,KANKAKEE,2010,IL,23222.609617500977,
319,KANKAKEE,2011,IL,26530.2600825012,11.0
320,KANKAKEE,2012,IL,30053.601153863412,
321,KENDALL,2006,IL,9204.27924386264,
322,KENDALL,2007,IL,10514.531980500231,
323,KENDALL,2008,IL,10866.507277950284,11.0
324,KENDALL,2009,IL,12120.137895000362,
325,KENDALL,2010,IL,15482.54972250052,
326,KENDALL,2011,IL,16543.26079950045,11.0
327,KENDALL,2012,IL,18076.966054088054,
328,KNOX,2006,IL,11824.025586000038,
329,KNOX,2007,IL,12830.190366862591,
330,KNOX,2008,IL,13579.382731950118,
331,KNOX,2009,IL,13146.500670000083,
332,KNOX,2010,IL,13183.722135000164,
333,KNOX,2011,IL,13085.600051362755,
334,KNOX,2012,IL,14087.613300450043,
335,LA SALLE,2006,IL,21033.9226513633,18.0
336,LA SALLE,2007,IL,21257.072190500876,18.0
337,LA SALLE,2008,IL,24253.214172450964,15.0
338,LA SALLE,2009,IL,24751.756365000994,21.0
339,LA SALLE,2010,IL,25546.687714088443,28.0
340,LA SALLE,2011,IL,26916.32427918841,24.0
341,LA SALLE,2012,IL,28757.71610951318,21.0
342,LAKE,2006,IL,93391.78853817719,52.0
343,LAKE,2007,IL,90755.63340336221,64.0
344,LAKE,2008,IL,92342.0796418995,72.0
345,LAKE,2009,IL,96706.45265836173,81.0
346,LAKE,2010,IL,114047.46592835397,90.0
347,LAKE,2011,IL,123604.27846805393,82.0
348,LAKE,2012,IL,131927.6880697649,69.0
349,LAWRENCE,2006,IL,2501.344009500006,
350,LAWRENCE,2007,IL,2979.105487500004,
351,LAWRENCE,2008,IL,2974.056237500002,
352,LAWRENCE,2009,IL,3379.8712500000056,
353,LAWRENCE,2010,IL,3403.1799000000033,
354,LAWRENCE,2011,IL,4398.236130000013,
355,LAWRENCE,2012,IL,4989.138007500043,
356,LEE,2006,IL,3430.4066849999926,
357,LEE,2007,IL,3818.316857999989,
358,LEE,2008,IL,3887.1652770000055,
359,LEE,2009,IL,4595.584335000013,
360,LEE,2010,IL,4901.046480000051,
361,LEE,2011,IL,5617.416667500086,
362,LEE,2012,IL,5207.007352725065,
363,LIVINGSTON,2006,IL,4224.945667499994,
364,LIVINGSTON,2007,IL,5408.705758500074,
365,LIVINGSTON,2008,IL,6068.043232500133,
366,LIVINGSTON,2009,IL,6962.807940000154,
367,LIVINGSTON,2010,IL,7164.500235000203,
368,LIVINGSTON,2011,IL,8409.60139500022,
369,LIVINGSTON,2012,IL,9079.350615000189,
370,LOGAN,2006,IL,3854.5495109999956,
371,LOGAN,2007,IL,4438.629753000009,
372,LOGAN,2008,IL,4763.813060500028,
373,LOGAN,2009,IL,4874.512087500032,
374,LOGAN,2010,IL,5071.775482500047,
375,LOGAN,2011,IL,6534.775087500072,
376,LOGAN,2012,IL,6860.455353862577,
377,MACON,2006,IL,17964.925368000473,
378,MACON,2007,IL,20259.22764300095,
379,MACON,2008,IL,23061.99604736406,
380,MACON,2009,IL,23805.577825501423,
381,MACON,2010,IL,24648.400582726597,
382,MACON,2011,IL,27498.361736364153,
383,MACON,2012,IL,28697.72376022639,
384,MACOUPIN,2006,IL,6267.899377500063,
385,MACOUPIN,2007,IL,6630.30974250006,
386,MACOUPIN,2008,IL,7242.496572500125,
387,MACOUPIN,2009,IL,7873.485513862689,
388,MACOUPIN,2010,IL,8564.117351587725,
389,MACOUPIN,2011,IL,9879.93278636283,
390,MACOUPIN,2012,IL,11229.68169750017,
391,MADISON,2006,IL,51649.38289481799,30.0
392,MADISON,2007,IL,57586.65883613155,38.0
393,MADISON,2008,IL,65160.02857472001,32.0
394,MADISON,2009,IL,74551.3977499971,39.0
395,MADISON,2010,IL,80776.53728044852,57.0
396,MADISON,2011,IL,91796.8566204512,49.0
397,MADISON,2012,IL,95592.16104792673,56.0
