,County,Deaths,MME,State,Year,County Code,Population
221,BAY,0,68131.16719294015,FL,2009,12005,28731
222,BAY,0,68131.16719294015,FL,2009,12005,28601
223,BAY,0,68131.16719294015,FL,2009,12005,28471
224,BAY,0,68131.16719294015,FL,2009,12005,28341
225,BAY,0,68131.16719294015,FL,2009,12005,28211
226,BAY,0,68131.16719294015,FL,2009,12005,28081
227,BAY,0,68131.16719294015,FL,2009,12005,27951
228,BAY,0,68131.16719294015,FL,2009,12005,169205
229,BAY,0,68131.16719294015,FL,2009,12005,169541
230,BAY,0,68131.16719294015,FL,2009,12005,171749
231,BAY,0,68131.16719294015,FL,2009,12005,174606
232,BAY,0,68131.16719294015,FL,2009,12005,178305
233,BAY,0,68131.16719294015,FL,2009,12005,181387
234,BAY,0,73912.3022531658,FL,2010,12005,28731
235,BAY,0,73912.3022531658,FL,2010,12005,28601
236,BAY,0,73912.3022531658,FL,2010,12005,28471
237,BAY,0,73912.3022531658,FL,2010,12005,28341
238,BAY,0,73912.3022531658,FL,2010,12005,28211
239,BAY,0,73912.3022531658,FL,2010,12005,28081
240,BAY,0,73912.3022531658,FL,2010,12005,27951
241,BAY,0,73912.3022531658,FL,2010,12005,169205
242,BAY,0,73912.3022531658,FL,2010,12005,169541
243,BAY,0,73912.3022531658,FL,2010,12005,171749
244,BAY,0,73912.3022531658,FL,2010,12005,174606
245,BAY,0,73912.3022531658,FL,2010,12005,178305
246,BAY,0,73912.3022531658,FL,2010,12005,181387
247,BAY,0,73505.84484769049,FL,2011,12005,28731
248,BAY,0,73505.84484769049,FL,2011,12005,28601
249,BAY,0,73505.84484769049,FL,2011,12005,28471
250,BAY,0,73505.84484769049,FL,2011,12005,28341
251,BAY,0,73505.84484769049,FL,2011,12005,28211
252,BAY,0,73505.84484769049,FL,2011,12005,28081
253,BAY,0,73505.84484769049,FL,2011,12005,27951
254,BAY,0,73505.84484769049,FL,2011,12005,169205
255,BAY,0,73505.84484769049,FL,2011,12005,169541
256,BAY,0,73505.84484769049,FL,2011,12005,171749
257,BAY,0,73505.84484769049,FL,2011,12005,174606
258,BAY,0,73505.84484769049,FL,2011,12005,178305
259,BAY,0,73505.84484769049,FL,2011,12005,181387
260,BAY,0,73272.65335132717,FL,2012,12005,28731
261,BAY,0,73272.65335132717,FL,2012,12005,28601
262,BAY,0,73272.65335132717,FL,2012,12005,28471
263,BAY,0,73272.65335132717,FL,2012,12005,28341
264,BAY,0,73272.65335132717,FL,2012,12005,28211
265,BAY,0,73272.65335132717,FL,2012,12005,28081
266,BAY,0,73272.65335132717,FL,2012,12005,27951
267,BAY,0,73272.65335132717,FL,2012,12005,169205
268,BAY,0,73272.65335132717,FL,2012,12005,169541
269,BAY,0,73272.65335132717,FL,2012,12005,171749
270,BAY,0,73272.65335132717,FL,2012,12005,174606
271,BAY,0,73272.65335132717,FL,2012,12005,178305
272,BAY,0,73272.65335132717,FL,2012,12005,181387
273,BRADFORD,0,13424.830894900231,FL,2006,12007,486331
274,BRADFORD,0,13424.830894900231,FL,2006,12007,493327
275,BRADFORD,0,13424.830894900231,FL,2006,12007,500323
276,BRADFORD,0,13424.830894900231,FL,2006,12007,507319
277,BRADFORD,0,13424.830894900231,FL,2006,12007,514316
278,BRADFORD,0,13424.830894900231,FL,2006,12007,521312
279,BRADFORD,0,13424.830894900231,FL,2006,12007,528308
280,BRADFORD,0,13424.830894900231,FL,2006,12007,28536
281,BRADFORD,0,13424.830894900231,FL,2006,12007,28432
282,BRADFORD,0,13424.830894900231,FL,2006,12007,27049
283,BRADFORD,0,13424.830894900231,FL,2006,12007,26803
284,BRADFORD,0,13424.830894900231,FL,2006,12007,26553
285,BRADFORD,0,13424.830894900231,FL,2006,12007,26743
286,BRADFORD,0,15854.865475125225,FL,2007,12007,486331
287,BRADFORD,0,15854.865475125225,FL,2007,12007,493327
288,BRADFORD,0,15854.865475125225,FL,2007,12007,500323
289,BRADFORD,0,15854.865475125225,FL,2007,12007,507319
290,BRADFORD,0,15854.865475125225,FL,2007,12007,514316
291,BRADFORD,0,15854.865475125225,FL,2007,12007,521312
292,BRADFORD,0,15854.865475125225,FL,2007,12007,528308
293,BRADFORD,0,15854.865475125225,FL,2007,12007,28536
294,BRADFORD,0,15854.865475125225,FL,2007,12007,28432
295,BRADFORD,0,15854.865475125225,FL,2007,12007,27049
296,BRADFORD,0,15854.865475125225,FL,2007,12007,26803
297,BRADFORD,0,15854.865475125225,FL,2007,12007,26553
298,BRADFORD,0,15854.865475125225,FL,2007,12007,26743
299,BRADFORD,0,17501.063683500106,FL,2008,12007,486331
300,BRADFORD,0,17501.063683500106,FL,2008,12007,493327
301,BRADFORD,0,17501.063683500106,FL,2008,12007,500323
302,BRADFORD,0,17501.063683500106,FL,2008,12007,507319
303,BRADFORD,0,17501.063683500106,FL,2008,12007,514316
304,BRADFORD,0,17501.063683500106,FL,2008,12007,521312
305,BRADFORD,0,17501.063683500106,FL,2008,12007,528308
306,BRADFORD,0,17501.063683500106,FL,2008,12007,28536
307,BRADFORD,0,17501.063683500106,FL,2008,12007,28432
308,BRADFORD,0,17501.063683500106,FL,2008,12007,27049
309,BRADFORD,0,17501.063683500106,FL,2008,12007,26803
310,BRADFORD,0,17501.063683500106,FL,2008,12007,26553
311,BRADFORD,0,17501.063683500106,FL,2008,12007,26743
312,BRADFORD,0,21250.949666812667,FL,2009,12007,486331
313,BRADFORD,0,21250.949666812667,FL,2009,12007,493327
314,BRADFORD,0,21250.949666812667,FL,2009,12007,500323
315,BRADFORD,0,21250.949666812667,FL,2009,12007,507319
316,BRADFORD,0,21250.949666812667,FL,2009,12007,514316
317,BRADFORD,0,21250.949666812667,FL,2009,12007,521312
318,BRADFORD,0,21250.949666812667,FL,2009,12007,528308
319,BRADFORD,0,21250.949666812667,FL,2009,12007,28536
320,BRADFORD,0,21250.949666812667,FL,2009,12007,28432
321,BRADFORD,0,21250.949666812667,FL,2009,12007,27049
322,BRADFORD,0,21250.949666812667,FL,2009,12007,26803
323,BRADFORD,0,21250.949666812667,FL,2009,12007,26553
324,BRADFORD,0,21250.949666812667,FL,2009,12007,26743
325,BRADFORD,0,26551.078983862728,FL,2010,12007,486331
326,BRADFORD,0,26551.078983862728,FL,2010,12007,493327
327,BRADFORD,0,26551.078983862728,FL,2010,12007,500323
328,BRADFORD,0,26551.078983862728,FL,2010,12007,507319
329,BRADFORD,0,26551.078983862728,FL,2010,12007,514316
330,BRADFORD,0,26551.078983862728,FL,2010,12007,521312
331,BRADFORD,0,26551.078983862728,FL,2010,12007,528308
332,BRADFORD,0,26551.078983862728,FL,2010,12007,28536
333,BRADFORD,0,26551.078983862728,FL,2010,12007,28432
