,County,Deaths,MME,QUANTITY,State,Year,County Code,Population,MME_Per_Capita,Deaths_Per_100000
200,INDIAN RIVER,23.0,43237.351081764515,27910.0,FL,2006,12061.0,126170.0,0.3426912188457202,18.229373068082747
201,INDIAN RIVER,22.0,51702.13878888993,31128.0,FL,2007,12061.0,128658.0,0.40185716231318636,17.099597382207094
202,INDIAN RIVER,29.0,64186.802972627636,36729.0,FL,2008,12061.0,131147.0,0.4894263915501509,22.112591214438762
203,INDIAN RIVER,31.0,79226.07711930282,43357.0,FL,2009,12061.0,133635.0,0.5928542456639564,23.197515620907698
204,INDIAN RIVER,18.0,111822.90470929068,51159.0,FL,2010,12061.0,138272.0,0.8087169109385175,13.01781994908586
205,INDIAN RIVER,25.0,141158.72960861554,60802.0,FL,2011,12061.0,139100.0,1.0148003566399393,17.972681524083395
206,INDIAN RIVER,17.0,98923.32428561537,48519.0,FL,2012,12061.0,140485.0,0.7041557766709283,12.100936042993915
207,JACKSON,,9866.87533750018,7130.0,FL,2006,12063.0,50082.0,0.19701440312887225,
208,JACKSON,,11355.73454750023,8327.0,FL,2007,12063.0,49922.0,0.2274695434377675,
209,JACKSON,,12130.1033215002,8860.0,FL,2008,12063.0,49761.0,0.2437672739997227,
210,JACKSON,,13341.586837500205,9270.0,FL,2009,12063.0,49600.0,0.2689836055947622,
211,JACKSON,,14859.5648250002,10389.0,FL,2010,12063.0,49646.0,0.299310414232772,
212,JACKSON,,16484.638485000258,10552.0,FL,2011,12063.0,49188.0,0.33513536807758515,
213,JACKSON,,17427.980370000343,11804.0,FL,2012,12063.0,49106.0,0.3549053144218699,
214,JEFFERSON,,1465.4849204999978,1565.0,FL,2006,12065.0,14736.0,0.09944930242263829,
215,JEFFERSON,,1732.0343369999987,1740.0,FL,2007,12065.0,14675.0,0.11802618991482103,
216,JEFFERSON,,2123.4259035000014,1791.0,FL,2008,12065.0,14613.0,0.1453107440977213,
217,JEFFERSON,,2413.278483862504,2016.0,FL,2009,12065.0,14552.0,0.16583826854470202,
218,JEFFERSON,,2637.1250174999977,1944.0,FL,2010,12065.0,14754.0,0.1787396650060999,
219,JEFFERSON,,2823.4519350000014,2100.0,FL,2011,12065.0,14526.0,0.19437229347377127,
220,JEFFERSON,,2213.9155200000023,1991.0,FL,2012,12065.0,14216.0,0.15573406865503675,
221,LAFAYETTE,,1215.7013750000024,765.0,FL,2006,12067.0,8905.0,0.13651896406513223,
222,LAFAYETTE,,1355.7724875000035,861.0,FL,2007,12067.0,8888.0,0.15253965880963136,
223,LAFAYETTE,,1361.0927500000043,772.0,FL,2008,12067.0,8872.0,0.1534144217763756,
224,LAFAYETTE,,1257.6621750000022,898.0,FL,2009,12067.0,8855.0,0.1420284782608698,
225,LAFAYETTE,,1363.4092875000038,829.0,FL,2010,12067.0,8810.0,0.15475701333711733,
226,LAFAYETTE,,1307.1051675000035,875.0,FL,2011,12067.0,8801.0,0.14851780110214788,
227,LAFAYETTE,,1295.0002725000031,1145.0,FL,2012,12067.0,8796.0,0.14722604280354742,
228,LAKE,16.0,64563.41932243082,44458.0,FL,2006,12069.0,261008.0,0.2473618407191765,6.130080304051984
229,LAKE,2.0,82180.0273315835,52090.0,FL,2007,12069.0,268476.0,0.3060982260298257,0.7449455444806985
230,LAKE,24.0,103711.04927071047,60587.0,FL,2008,12069.0,275944.0,0.3758409288504569,8.697416867190444
231,LAKE,32.0,140752.49857088662,73652.0,FL,2009,12069.0,283411.0,0.49663738729578816,11.291022578516712
232,LAKE,34.0,177229.26266112374,85573.0,FL,2010,12069.0,297708.0,0.595312395572587,11.420586615072487
233,LAKE,38.0,179071.46538702608,89175.0,FL,2011,12069.0,300488.0,0.5959354962162419,12.646095684353451
234,LAKE,26.0,156520.69777519707,84770.0,FL,2012,12069.0,303738.0,0.5153148363892469,8.560008955086293
235,LEE,98.0,309886.7067442962,143559.0,FL,2006,12071.0,542167.0,0.5715705801797162,18.075611389110737
236,LEE,98.0,295673.26356948045,143259.0,FL,2007,12071.0,559799.0,0.5281775486727923,17.50628350532959
237,LEE,95.0,340668.9295273179,159689.0,FL,2008,12071.0,577432.0,0.5899723768812914,16.452153673506146
238,LEE,93.0,439929.93098849984,188905.0,FL,2009,12071.0,595064.0,0.7392985140900807,15.628571044459084
239,LEE,34.0,680132.8328027857,260501.0,FL,2010,12071.0,620454.0,1.0961857491494706,5.479858297311324
240,LEE,96.0,587055.7268651475,238845.0,FL,2011,12071.0,631031.0,0.9303120240767054,15.213198717654127
241,LEE,67.0,272161.03570029355,154361.0,FL,2012,12071.0,644243.0,0.42245090082514447,10.399802558972313
242,LEON,,43067.63904172785,33656.0,FL,2006,12073.0,269051.0,0.16007239906830992,
243,LEON,13.0,47083.40082031617,37396.0,FL,2007,12073.0,270979.0,0.17375295067262103,4.79741972625185
244,LEON,14.0,51120.25009326629,42316.0,FL,2008,12073.0,272908.0,0.18731678841685215,5.129933897137497
245,LEON,,55928.522419128865,44513.0,FL,2009,12073.0,274836.0,0.20349780385076505,
246,LEON,,56268.735998178905,39065.0,FL,2010,12073.0,275969.0,0.2038951331424142,
247,LEON,13.0,58086.07297545415,40376.0,FL,2011,12073.0,278334.0,0.2086919778950978,4.670647495455101
248,LEON,,61292.55911044085,41548.0,FL,2012,12073.0,283609.0,0.21611641065848,
249,LEVY,,18659.653543000502,15082.0,FL,2006,12075.0,39884.0,0.46784809805938476,
250,LEVY,,22313.800503725663,19208.0,FL,2007,12075.0,39897.0,0.559285171910812,
251,LEVY,,28379.51261290068,20042.0,FL,2008,12075.0,39911.0,0.7110699459522607,
252,LEVY,,33730.549890900475,19769.0,FL,2009,12075.0,39925.0,0.8448478369668246,
253,LEVY,,36649.65238590018,20227.0,FL,2010,12075.0,40723.0,0.899974274633504,
254,LEVY,,36064.200581587655,25323.0,FL,2011,12075.0,40151.0,0.898214255724332,
255,LEVY,13.0,28221.149431800317,17869.0,FL,2012,12075.0,39826.0,0.7086111944910439,32.64199266810626
256,LIBERTY,,628.4498325000004,302.0,FL,2006,12077.0,8284.0,0.07586308938918401,
257,LIBERTY,,738.3230204999995,298.0,FL,2007,12077.0,8292.0,0.08904040285817649,
258,LIBERTY,,771.9740625000012,365.0,FL,2008,12077.0,8299.0,0.09302013043740225,
259,LIBERTY,,686.3627999999998,378.0,FL,2009,12077.0,8306.0,0.08263457741391762,
260,LIBERTY,,1141.6443375000038,645.0,FL,2010,12077.0,8348.0,0.13675662883325393,
261,LIBERTY,,821.8818000000017,470.0,FL,2011,12077.0,8261.0,0.09948938385183412,
262,LIBERTY,,764.5792500000003,409.0,FL,2012,12077.0,8298.0,0.09214018438177879,
263,MADISON,,2315.633331362499,2426.0,FL,2006,12079.0,19591.0,0.11819883269677399,
